"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"25.91Z";"Fabrication de fûts et emballages métalliques similaires"
"ACTIVITY";"Activité économique";"24.44Z";"Métallurgie du cuivre"
"ACTIVITY";"Activité économique";"58.21";"Édition de jeux électroniques"
"ACTIVITY";"Activité économique";"C11";"Fabrication de boissons"
"ACTIVITY";"Activité économique";"G461";"Intermédiaires du commerce de gros"
"ACTIVITY";"Activité économique";"20.59";"Fabrication d'autres produits chimiques n.c.a."
"ACTIVITY";"Activité économique";"28.13Z";"Fabrication d'autres pompes et compresseurs"
"ACTIVITY";"Activité économique";"11.07A";"Industrie des eaux de table"
"ACTIVITY";"Activité économique";"49.32";"Transports de voyageurs par taxis"
"ACTIVITY";"Activité économique";"50.3";"Transports fluviaux de passagers"
"ACTIVITY";"Activité économique";"30.3";"Construction aéronautique et spatiale"
"ACTIVITY";"Activité économique";"38.1";"Collecte des déchets"
"ACTIVITY";"Activité économique";"13.2";"Tissage"
"ACTIVITY";"Activité économique";"N79";"Activités des agences de voyage, voyagistes, services de réservation et activités connexes"
"ACTIVITY";"Activité économique";"H53";"Activités de poste et de courrier"
"ACTIVITY";"Activité économique";"A38_CC";"Travail du bois, industries du papier et imprimerie"
"ACTIVITY";"Activité économique";"24.10";"Sidérurgie"
"ACTIVITY";"Activité économique";"52.2";"Services auxiliaires des transports"
"ACTIVITY";"Activité économique";"MN";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien"
"ACTIVITY";"Activité économique";"10.7";"Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires"
"ACTIVITY";"Activité économique";"82.91";"Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle"
"ACTIVITY";"Activité économique";"49.31";"Transports urbains et suburbains de voyageurs"
"ACTIVITY";"Activité économique";"20.5";"Fabrication d'autres produits chimiques"
"ACTIVITY";"Activité économique";"17.23";"Fabrication d'articles de papeterie"
"ACTIVITY";"Activité économique";"15.11Z";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
"ACTIVITY";"Activité économique";"43.33Z";"Travaux de revêtement des sols et des murs"
"ACTIVITY";"Activité économique";"25.91";"Fabrication de fûts et emballages métalliques similaires"
"ACTIVITY";"Activité économique";"35.3";"Production et distribution de vapeur et d'air conditionné"
"ACTIVITY";"Activité économique";"33.17";"Réparation et maintenance d'autres équipements de transport"
"ACTIVITY";"Activité économique";"53.20";"Autres activités de poste et de courrier"
"ACTIVITY";"Activité économique";"10.39A";"Autre transformation et conservation de légumes"
"ACTIVITY";"Activité économique";"28.94Z";"Fabrication de machines pour les industries textiles"
"ACTIVITY";"Activité économique";"43.34";"Travaux de peinture et vitrerie"
"ACTIVITY";"Activité économique";"35.14Z";"Commerce d'électricité"
"ACTIVITY";"Activité économique";"25.99B";"Fabrication d'autres articles métalliques"
"ACTIVITY";"Activité économique";"30.92";"Fabrication de bicyclettes et de véhicules pour invalides"
"ACTIVITY";"Activité économique";"16.23Z";"Fabrication de charpentes et d'autres menuiseries"
"ACTIVITY";"Activité économique";"42.12Z";"Construction de voies ferrées de surface et souterraines"
"ACTIVITY";"Activité économique";"25.61";"Traitement et revêtement des métaux"
"ACTIVITY";"Activité économique";"41.10D";"Supports juridiques de programmes"
"ACTIVITY";"Activité économique";"28.23Z";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)"
"ACTIVITY";"Activité économique";"A17_C5";"Fabrication d’autres produits industriels"
"ACTIVITY";"Activité économique";"N78";"Activités liées à l'emploi"
"ACTIVITY";"Activité économique";"10.89";"Fabrication d'autres produits alimentaires n.c.a."
"ACTIVITY";"Activité économique";"A17_C2";"Cokéfaction et raffinage"
"ACTIVITY";"Activité économique";"15.20Z";"Fabrication de chaussures"
"ACTIVITY";"Activité économique";"11.05";"Fabrication de bière"
"ACTIVITY";"Activité économique";"23.14";"Fabrication de fibres de verre"
"ACTIVITY";"Activité économique";"33.11";"Réparation d'ouvrages en métaux"
"ACTIVITY";"Activité économique";"18.1";"Imprimerie et services annexes"
"ACTIVITY";"Activité économique";"10.9";"Fabrication d'aliments pour animaux"
"ACTIVITY";"Activité économique";"42.11Z";"Construction de routes et autoroutes"
"ACTIVITY";"Activité économique";"26.6";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"ACTIVITY";"Activité économique";"23.99";"Fabrication d'autres produits minéraux non métalliques n.c.a."
"ACTIVITY";"Activité économique";"13.3";"Ennoblissement textile"
"ACTIVITY";"Activité économique";"C15";"Industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"37.0";"Collecte et traitement des eaux usées"
"ACTIVITY";"Activité économique";"29.31Z";"Fabrication d'équipements électriques et électroniques automobiles"
"ACTIVITY";"Activité économique";"38.31";"Démantèlement d'épaves"
"ACTIVITY";"Activité économique";"28.25";"Fabrication d'équipements aérauliques et frigorifiques industriels"
"ACTIVITY";"Activité économique";"43.3";"Travaux de finition"
"ACTIVITY";"Activité économique";"30.20";"Construction de locomotives et d'autre matériel ferroviaire roulant"
"ACTIVITY";"Activité économique";"16.23";"Fabrication de charpentes et d'autres menuiseries"
"ACTIVITY";"Activité économique";"20.15Z";"Fabrication de produits azotés et d'engrais"
"ACTIVITY";"Activité économique";"26.11Z";"Fabrication de composants électroniques"
"ACTIVITY";"Activité économique";"20.41Z";"Fabrication de savons, détergents et produits d'entretien"
"ACTIVITY";"Activité économique";"28.92Z";"Fabrication de machines pour l'extraction ou la construction"
"ACTIVITY";"Activité économique";"I55";"Hébergement"
"ACTIVITY";"Activité économique";"55.3";"Terrains de camping et parcs pour caravanes ou véhicules de loisirs"
"ACTIVITY";"Activité économique";"56.3";"Débits de boissons"
"ACTIVITY";"Activité économique";"56.29";"Autres services de restauration"
"ACTIVITY";"Activité économique";"56.30";"Débits de boissons"
"ACTIVITY";"Activité économique";"55.1";"Hôtels et hébergement similaire"
"ACTIVITY";"Activité économique";"55.10";"Hôtels et hébergement similaire"
"ACTIVITY";"Activité économique";"H52";"Entreposage et services auxiliaires des transports"
"ACTIVITY";"Activité économique";"H51";"Transports aériens"
"ACTIVITY";"Activité économique";"55.2";"Hébergement touristique et autre hébergement de courte durée"
"ACTIVITY";"Activité économique";"55.90";"Autres hébergements"
"ACTIVITY";"Activité économique";"55.30";"Terrains de camping et parcs pour caravanes ou véhicules de loisirs"
"ACTIVITY";"Activité économique";"R_S";"Arts, divertissement et loisirs ; autres activités de services"
"ACTIVITY";"Activité économique";"55.9";"Autres hébergements"
"ACTIVITY";"Activité économique";"55.20";"Hébergement touristique et autre hébergement de courte durée"
"ACTIVITY";"Activité économique";"56.1";"Restaurants et services de restauration mobile"
"ACTIVITY";"Activité économique";"56.10";"Restaurants et services de restauration mobile"
"ACTIVITY";"Activité économique";"56.21";"Services des traiteurs"
"ACTIVITY";"Activité économique";"56.2";"Traiteurs et autres services de restauration"
"ACTIVITY";"Activité économique";"58.1";"Édition de livres et périodiques et autres activités d'édition"
"ACTIVITY";"Activité économique";"M";"Activités spécialisées, scientifiques et techniques"
"ACTIVITY";"Activité économique";"43.1";"Démolition et préparation des sites"
"ACTIVITY";"Activité économique";"52.10";"Entreposage et stockage"
"ACTIVITY";"Activité économique";"49.3";"Autres transports terrestres de voyageurs"
"ACTIVITY";"Activité économique";"42.22";"Construction de réseaux électriques et de télécommunications"
"ACTIVITY";"Activité économique";"C18";"Imprimerie et reproduction d'enregistrements"
"ACTIVITY";"Activité économique";"51.22Z";"Transports spatiaux"
"ACTIVITY";"Activité économique";"53.2";"Autres activités de poste et de courrier"
"ACTIVITY";"Activité économique";"N77";"Activités de location et location-bail"
"ACTIVITY";"Activité économique";"49.20";"Transports ferroviaires de fret"
"ACTIVITY";"Activité économique";"50.10";"Transports maritimes et côtiers de passagers"
"ACTIVITY";"Activité économique";"M74";"Autres activités spécialisées, scientifiques et techniques"
"ACTIVITY";"Activité économique";"A38_CA";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"ACTIVITY";"Activité économique";"53.10";"Activités de poste dans le cadre d'une obligation de service universel"
"ACTIVITY";"Activité économique";"42.12";"Construction de voies ferrées de surface et souterraines"
"ACTIVITY";"Activité économique";"49.2";"Transports ferroviaires de fret"
"ACTIVITY";"Activité économique";"51.21";"Transports aériens de fret"
"ACTIVITY";"Activité économique";"51.22";"Transports spatiaux"
"ACTIVITY";"Activité économique";"25.30Z";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"ACTIVITY";"Activité économique";"50.40Z";"Transports fluviaux de fret"
"ACTIVITY";"Activité économique";"23.1";"Fabrication de verre et d'articles en verre"
"ACTIVITY";"Activité économique";"23.12Z";"Façonnage et transformation du verre plat"
"ACTIVITY";"Activité économique";"32.12Z";"Fabrication d'articles de joaillerie et bijouterie"
"ACTIVITY";"Activité économique";"38.12Z";"Collecte des déchets dangereux"
"ACTIVITY";"Activité économique";"50.1";"Transports maritimes et côtiers de passagers"
"ACTIVITY";"Activité économique";"26.30";"Fabrication d'équipements de communication"
"ACTIVITY";"Activité économique";"33.1";"Réparation d'ouvrages en métaux, de machines et d'équipements"
"ACTIVITY";"Activité économique";"25.92Z";"Fabrication d'emballages métalliques légers"
"ACTIVITY";"Activité économique";"43.99C";"Travaux de maçonnerie générale et gros œuvre de bâtiment"
"ACTIVITY";"Activité économique";"53.1";"Activités de poste dans le cadre d'une obligation de service universel"
"ACTIVITY";"Activité économique";"24.31Z";"Étirage à froid de barres"
"ACTIVITY";"Activité économique";"49.10";"Transport ferroviaire interurbain de voyageurs"
"ACTIVITY";"Activité économique";"58.12Z";"Édition de répertoires et de fichiers d'adresses"
"ACTIVITY";"Activité économique";"43.12B";"Travaux de terrassement spécialisés ou de grande masse"
"ACTIVITY";"Activité économique";"17.29";"Fabrication d'autres articles en papier ou en carton"
"ACTIVITY";"Activité économique";"49.50";"Transports par conduites"
"ACTIVITY";"Activité économique";"41.10C";"Promotion immobilière d'autres bâtiments"
"ACTIVITY";"Activité économique";"28.21";"Fabrication de fours et brûleurs"
"ACTIVITY";"Activité économique";"A17_C4";"Fabrication de matériels de transport"
"ACTIVITY";"Activité économique";"43.99D";"Autres travaux spécialisés de construction"
"ACTIVITY";"Activité économique";"43.99B";"Travaux de montage de structures métalliques"
"ACTIVITY";"Activité économique";"A17_C3";"Fabrication d’équipements électriques, électroniques, informatiques ; fabrication de machines"
"ACTIVITY";"Activité économique";"C20";"Industrie chimique"
"ACTIVITY";"Activité économique";"25.73B";"Fabrication d'autres outillages"
"ACTIVITY";"Activité économique";"22.19";"Fabrication d'autres articles en caoutchouc"
"ACTIVITY";"Activité économique";"20.53Z";"Fabrication d'huiles essentielles"
"ACTIVITY";"Activité économique";"49.1";"Transport ferroviaire interurbain de voyageurs"
"ACTIVITY";"Activité économique";"G473";"Commerce de détail de carburants en magasin spécialisé"
"ACTIVITY";"Activité économique";"G478";"Commerce de détail sur éventaires et marchés"
"ACTIVITY";"Activité économique";"G476";"Commerce de détail de biens culturels et de loisirs en magasin spécialisé"
"ACTIVITY";"Activité économique";"14.1";"Fabrication de vêtements, autres qu'en fourrure"
"ACTIVITY";"Activité économique";"78.20";"Activités des agences de travail temporaire"
"ACTIVITY";"Activité économique";"28.93";"Fabrication de machines pour l'industrie agro-alimentaire"
"ACTIVITY";"Activité économique";"G47_NFOODX473";"Commerce de détail de produits non alimentaires (à l'exception des carburants)"
"ACTIVITY";"Activité économique";"10.11Z";"Transformation et conservation de la viande de boucherie"
"ACTIVITY";"Activité économique";"77.22";"Location de vidéocassettes et disques vidéo"
"ACTIVITY";"Activité économique";"23.51Z";"Fabrication de ciment"
"ACTIVITY";"Activité économique";"82.30";"Organisation de salons professionnels et congrès"
"ACTIVITY";"Activité économique";"20.12Z";"Fabrication de colorants et de pigments"
"ACTIVITY";"Activité économique";"13.30Z";"Ennoblissement textile"
"ACTIVITY";"Activité économique";"77.1";"Location et location-bail de véhicules automobiles"
"ACTIVITY";"Activité économique";"20.1";"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
"ACTIVITY";"Activité économique";"70.10";"Activités des sièges sociaux"
"ACTIVITY";"Activité économique";"A38_CJ";"Fabrication d'équipements électriques"
"ACTIVITY";"Activité économique";"25.99A";"Fabrication d'articles métalliques ménagers"
"ACTIVITY";"Activité économique";"G47X473";"Commerce de détail, à l'exception des véhicules automobiles, des motocycles et des carburants"
"ACTIVITY";"Activité économique";"25.73A";"Fabrication de moules et modèles"
"ACTIVITY";"Activité économique";"C10";"Industries alimentaires"
"ACTIVITY";"Activité économique";"33.15";"Réparation et maintenance navale"
"ACTIVITY";"Activité économique";"A38_FZ";"Construction"
"ACTIVITY";"Activité économique";"32.50";"Fabrication d'instruments et de fournitures à usage médical et dentaire"
"ACTIVITY";"Activité économique";"10.39";"Autre transformation et conservation de fruits et légumes"
"ACTIVITY";"Activité économique";"A38_CL";"Fabrication de matériels de transport"
"ACTIVITY";"Activité économique";"G477";"Autres commerces de détail en magasin spécialisé"
"ACTIVITY";"Activité économique";"16.21";"Fabrication de placage et de panneaux de bois"
"ACTIVITY";"Activité économique";"G472";"Commerce de détail alimentaire en magasin spécialisé"
"ACTIVITY";"Activité économique";"C";"Industrie manufacturière"
"ACTIVITY";"Activité économique";"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a."
"ACTIVITY";"Activité économique";"G46";"Commerce de gros, à l'exception des automobiles et des motocycles"
"ACTIVITY";"Activité économique";"10.32";"Préparation de jus de fruits et légumes"
"ACTIVITY";"Activité économique";"33.16Z";"Réparation et maintenance d'aéronefs et d'engins spatiaux"
"ACTIVITY";"Activité économique";"23.70Z";"Taille, façonnage et finissage de pierres"
"ACTIVITY";"Activité économique";"38.22";"Traitement et élimination des déchets dangereux"
"ACTIVITY";"Activité économique";"32.1";"Fabrication d'articles de joaillerie, bijouterie et articles similaires"
"ACTIVITY";"Activité économique";"10.86Z";"Fabrication d'aliments homogénéisés et diététiques"
"ACTIVITY";"Activité économique";"A88_36";"Captage, traitement et distribution d'eau"
"ACTIVITY";"Activité économique";"23.9";"Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a."
"ACTIVITY";"Activité économique";"C14";"Industrie de l'habillement"
"ACTIVITY";"Activité économique";"24.1";"Sidérurgie"
"ACTIVITY";"Activité économique";"G465";"Commerce de gros d'équipements de l'information et de la communication"
"ACTIVITY";"Activité économique";"21.10";"Fabrication de produits pharmaceutiques de base"
"ACTIVITY";"Activité économique";"G452";"Entretien et réparation de véhicules automobiles"
"ACTIVITY";"Activité économique";"MIG_NDCOG";"MIG - biens de consommation non durables"
"ACTIVITY";"Activité économique";"20.42";"Fabrication de parfums et de produits pour la toilette"
"ACTIVITY";"Activité économique";"C24";"Métallurgie"
"ACTIVITY";"Activité économique";"G475";"Commerce de détail d'autres équipements du foyer en magasin spécialisé"
"ACTIVITY";"Activité économique";"18.12";"Autre imprimerie (labeur)"
"ACTIVITY";"Activité économique";"G47_FOOD";"Commerce de détail de produits alimentaires, de boissons et de tabac"
"ACTIVITY";"Activité économique";"G47";"Commerce de détail, à l'exception des automobiles et des motocycles"
"ACTIVITY";"Activité économique";"B06";"Extraction d'hydrocarbures"
"ACTIVITY";"Activité économique";"MIG_DCOG";"MIG - biens de consommation durables"
"ACTIVITY";"Activité économique";"25.11";"Fabrication de structures métalliques et de parties de structures"
"ACTIVITY";"Activité économique";"33.12Z";"Réparation de machines et équipements mécaniques"
"ACTIVITY";"Activité économique";"27.11Z";"Fabrication de moteurs, génératrices et transformateurs électriques"
"ACTIVITY";"Activité économique";"G4711";"Commerce de détail en magasin non spécialisé à prédominance alimentaire"
"ACTIVITY";"Activité économique";"G474";"Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé"
"ACTIVITY";"Activité économique";"G469";"Commerce de gros non spécialisé"
"ACTIVITY";"Activité économique";"14.31";"Fabrication d'articles chaussants à mailles"
"ACTIVITY";"Activité économique";"C17";"Industrie du papier et du carton"
"ACTIVITY";"Activité économique";"B";"Industries extractives"
"ACTIVITY";"Activité économique";"13.96Z";"Fabrication d'autres textiles techniques et industriels"
"ACTIVITY";"Activité économique";"08.91";"Extraction des minéraux chimiques et d'engrais minéraux"
"ACTIVITY";"Activité économique";"10.85";"Fabrication de plats préparés"
"ACTIVITY";"Activité économique";"10.86";"Fabrication d'aliments homogénéisés et diététiques"
"ACTIVITY";"Activité économique";"43.91A";"Travaux de charpente"
"ACTIVITY";"Activité économique";"G45";"Commerce et réparation d'automobiles et de motocycles"
"ACTIVITY";"Activité économique";"10.41A";"Fabrication d'huiles et graisses brutes"
"ACTIVITY";"Activité économique";"10.61B";"Autres activités du travail des grains"
"ACTIVITY";"Activité économique";"43.29";"Autres travaux d'installation"
"ACTIVITY";"Activité économique";"30.91";"Fabrication de motocycles"
"ACTIVITY";"Activité économique";"16.24Z";"Fabrication d'emballages en bois"
"ACTIVITY";"Activité économique";"14.12Z";"Fabrication de vêtements de travail"
"ACTIVITY";"Activité économique";"59.11";"Production de films cinématographiques, de vidéo et de programmes de télévision"
"ACTIVITY";"Activité économique";"28.11";"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules"
"ACTIVITY";"Activité économique";"33.17Z";"Réparation et maintenance d'autres équipements de transport"
"ACTIVITY";"Activité économique";"G471";"Commerce de détail en magasin non spécialisé"
"ACTIVITY";"Activité économique";"C27";"Fabrication d'équipements électriques"
"ACTIVITY";"Activité économique";"28.95";"Fabrication de machines pour les industries du papier et du carton"
"ACTIVITY";"Activité économique";"25.1";"Fabrication d'éléments en métal pour la construction"
"ACTIVITY";"Activité économique";"28.93Z";"Fabrication de machines pour l'industrie agro-alimentaire"
"ACTIVITY";"Activité économique";"15.11";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
"ACTIVITY";"Activité économique";"27.40";"Fabrication d'appareils d'éclairage électrique"
"ACTIVITY";"Activité économique";"11.05Z";"Fabrication de bière"
"ACTIVITY";"Activité économique";"25.12Z";"Fabrication de portes et fenêtres en métal"
"ACTIVITY";"Activité économique";"26.1";"Fabrication de composants et cartes électroniques"
"ACTIVITY";"Activité économique";"11.01";"Production de boissons alcooliques distillées"
"ACTIVITY";"Activité économique";"B_C";"Industries extractives et manufacturières"
"ACTIVITY";"Activité économique";"20.16";"Fabrication de matières plastiques de base"
"ACTIVITY";"Activité économique";"17.21A";"Fabrication de carton ondulé"
"ACTIVITY";"Activité économique";"28.29A";"Fabrication d'équipements d'emballage, de conditionnement et de pesage"
"ACTIVITY";"Activité économique";"A38_BZ";"Industries extractives"
"ACTIVITY";"Activité économique";"20.51";"Fabrication de produits explosifs"
"ACTIVITY";"Activité économique";"27.11";"Fabrication de moteurs, génératrices et transformateurs électriques"
"ACTIVITY";"Activité économique";"23.42";"Fabrication d'appareils sanitaires en céramique"
"ACTIVITY";"Activité économique";"35.2";"Production et distribution de combustibles gazeux"
"ACTIVITY";"Activité économique";"08.99Z";"Autres activités extractives n.c.a."
"ACTIVITY";"Activité économique";"43.39";"Autres travaux de finition"
"ACTIVITY";"Activité économique";"62.0";"Programmation, conseil et autres activités informatiques"
"ACTIVITY";"Activité économique";"62.01";"Programmation informatique"
"ACTIVITY";"Activité économique";"58.14";"Édition de revues et périodiques"
"ACTIVITY";"Activité économique";"58.11";"Édition de livres"
"ACTIVITY";"Activité économique";"58.19";"Autres activités d'édition"
"ACTIVITY";"Activité économique";"61.10";"Télécommunications filaires"
"ACTIVITY";"Activité économique";"61.2";"Télécommunications sans fil"
"ACTIVITY";"Activité économique";"61.20";"Télécommunications sans fil"
"ACTIVITY";"Activité économique";"61.1";"Télécommunications filaires"
"ACTIVITY";"Activité économique";"58.2";"Édition de logiciels"
"ACTIVITY";"Activité économique";"61.90";"Autres activités de télécommunication"
"ACTIVITY";"Activité économique";"61.3";"Télécommunications par satellite"
"ACTIVITY";"Activité économique";"58.13";"Édition de journaux"
"ACTIVITY";"Activité économique";"59.12";"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
"ACTIVITY";"Activité économique";"59.1";"Activités cinématographiques, vidéo et de télévision"
"ACTIVITY";"Activité économique";"58.29";"Édition d'autres logiciels"
"ACTIVITY";"Activité économique";"61.30";"Télécommunications par satellite"
"ACTIVITY";"Activité économique";"59.2";"Enregistrement sonore et édition musicale"
"ACTIVITY";"Activité économique";"59.20";"Enregistrement sonore et édition musicale"
"ACTIVITY";"Activité économique";"62.03";"Gestion d'installations informatiques"
"ACTIVITY";"Activité économique";"62.02";"Conseil informatique"
"ACTIVITY";"Activité économique";"60.1";"Édition et diffusion de programmes radio"
